Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
SPL_Sep3,Duplicity_Checker_package.Code,Aboutus,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Panel_BackButton_Template
SPL_Sep3,Duplicity_Checker_package.Code,Aboutus,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: User_GuideLines; Back_Button; Home; Duplicity_Random_File; Duplicity_Folder; Capitalization; Spell_Check; Aboutus
SPL_Sep3,Duplicity_Checker_package.Code,Basic_Frame_Duplicity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: comparable_file_textarea; comparing_file_textarea; result_textarea; file_read_button1; file_read_button2; file_check_button; back_button; save_button; comparable_file_scrolltext; comparing_file_scrolltext; scrolltext3; file_comparable_img; file_comparing_img; check_img; BackButton_img; save_button_img; button; jpanel
SPL_Sep3,Duplicity_Checker_package.Code,Basic_Frame_Duplicity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Frame_Container_Template
SPL_Sep3,Duplicity_Checker_package.Code,ButtonSound,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: OFFvariable; ONvariable; sound
SPL_Sep3,Duplicity_Checker_package.Code,Capitalization,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Panel_BackButton_Template
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Basic_Frame_Duplicity
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder.local1,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder.local1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder.local2,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder.local2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Basic_Frame_Duplicity
SPL_Sep3,Duplicity_Checker_package.Code,Frame_Container_Template,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: container
SPL_Sep3,Duplicity_Checker_package.Code,highlight_text.MyHighlightPainter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
SPL_Sep3,Duplicity_Checker_package.Code,highlight_text.MyHighlightPainter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SPL_Sep3,Duplicity_Checker_package.Code,Home,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: volume_icon_variable; value_of_text_file; container; duplicity_img; capitalization_img; spell_img; aboutus_img; guideline_img; volumeON_img; volumeOFF_img; sound_button
SPL_Sep3,Duplicity_Checker_package.Code,Panel_BackButton_Template,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: jpanel; background; BackButton_img; back_button
SPL_Sep3,Duplicity_Checker_package.Code,Panel_BackButton_Template,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Frame_Container_Template
SPL_Sep3,Duplicity_Checker_package.Code,Spell_Check,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Panel_BackButton_Template
SPL_Sep3,Duplicity_Checker_package.Code,SplashScreen,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SPL_Sep3,Duplicity_Checker_package.Code,User_GuideLines,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Panel_BackButton_Template
