Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
SPL_Sep3,Duplicity_Checker_package.Code,Aboutus,1,0,3,2,52,3,0,2,0.0,1,2,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Aboutus.java,8
SPL_Sep3,Duplicity_Checker_package.Code,Back_Button,0,0,1,1,12,1,0,0,-1.0,6,1,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Back_Button.java,6
SPL_Sep3,Duplicity_Checker_package.Code,Basic_Frame_Duplicity,18,18,4,3,89,4,2,1,0.5,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Basic_Frame_Duplicity.java,6
SPL_Sep3,Duplicity_Checker_package.Code,ButtonSound,3,2,1,1,19,2,0,0,0.0,9,0,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\ButtonSound.java,8
SPL_Sep3,Duplicity_Checker_package.Code,Capitalization,15,0,10,6,234,44,0,2,0.2,1,4,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Capitalization.java,9
SPL_Sep3,Duplicity_Checker_package.Code,check_extension,0,0,1,1,22,4,0,0,-1.0,1,1,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\check_extension.java,11
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,38,0,13,12,443,87,0,2,0.15384615384615385,1,4,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Duplicity_Folder.java,16
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder.local1,0,0,0,0,49,0,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Duplicity_Folder.java,436
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder.local2,0,0,0,0,45,0,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Duplicity_Folder.java,491
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,30,0,13,12,369,93,0,2,0.15384615384615385,1,4,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Duplicity_Random_File.java,16
SPL_Sep3,Duplicity_Checker_package.Code,file_read,0,0,1,1,19,2,0,0,-1.0,2,2,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\file_read.java,6
SPL_Sep3,Duplicity_Checker_package.Code,Frame_Container_Template,1,1,2,2,13,2,2,0,1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Frame_Container_Template.java,6
SPL_Sep3,Duplicity_Checker_package.Code,highlight_text,1,0,1,1,32,3,0,0,0.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\highlight_text.java,8
SPL_Sep3,Duplicity_Checker_package.Code,highlight_text.MyHighlightPainter,0,0,0,0,5,0,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\highlight_text.java,9
SPL_Sep3,Duplicity_Checker_package.Code,Home,11,1,9,9,197,17,0,0,0.2222222222222222,2,7,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Home.java,10
SPL_Sep3,Duplicity_Checker_package.Code,MainClass,0,0,1,1,5,1,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\MainClass.java,3
SPL_Sep3,Duplicity_Checker_package.Code,Panel_BackButton_Template,4,4,3,2,26,3,4,1,0.6666666666666666,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Panel_BackButton_Template.java,6
SPL_Sep3,Duplicity_Checker_package.Code,save_file,0,0,2,2,31,2,0,0,-1.0,4,0,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\save_file.java,15
SPL_Sep3,Duplicity_Checker_package.Code,Sorting_result,5,0,1,1,26,4,0,0,0.0,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Sorting_result.java,5
SPL_Sep3,Duplicity_Checker_package.Code,Spell_Check,21,0,8,7,187,36,0,2,0.25,1,5,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\Spell_Check.java,15
SPL_Sep3,Duplicity_Checker_package.Code,SplashScreen,6,0,8,7,79,11,0,0,0.0,0,1,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\SplashScreen.java,6
SPL_Sep3,Duplicity_Checker_package.Code,User_GuideLines,1,0,3,2,42,3,0,2,0.0,1,2,F:\exam\6th semester\LAB\Software Metrics\final check\SPL_Sep3\src\Duplicity_Checker_package\Code\User_GuideLines.java,8
